property,city,tenant,unit_number,unit_type,monthly_rent,lease_end,days_to_expiry,expiry_bucket,tenant_status
Townes at Heritage Hills,Glen Burnie,Anthony Ayala,140,3BR/2BA,2683.0,2023-07-24,-988,Expired,Active
Townes at Heritage Hills,Glen Burnie,Daniel Rojas,022,2BR/1BA,1948.0,2023-07-26,-986,Expired,Active
Fieldside Grande Ph1,Pikesville,Karen Trujillo,259,3BR/2BA,2907.0,2023-07-27,-985,Expired,Active
Riverfront Flats,Frederick,Sarah Martin,093,1BR/1BA,1739.0,2023-07-27,-985,Expired,Active
Duvall Westside,Laurel,Jorge Brown PhD,193,2BR/2BA,1949.0,2023-07-28,-984,Expired,Active
Townes at Heritage Hills,Glen Burnie,Beth Lewis,057,2BR/2BA,1995.0,2023-07-28,-984,Expired,Active
Cedar Ridge Commons,Ellicott City,Daniel Deleon,168,2BR/1BA,1926.0,2023-07-29,-983,Expired,Active
Duvall Westside,Laurel,Glen Sheppard,048,1BR/1BA,1625.0,2023-07-30,-982,Expired,Active
Avenue Grand,Baltimore,Robin Patterson,036,1BR/1BA,1723.0,2023-07-30,-982,Expired,Active
Cedar Ridge Commons,Ellicott City,Joshua Quinn,100,1BR/1BA,1692.0,2023-07-30,-982,Expired,Active
Cedar Ridge Commons,Ellicott City,Kayla Maxwell,125,2BR/1BA,1721.0,2023-07-30,-982,Expired,Active
Duvall Westside,Laurel,Robert Long,166,2BR/2BA,2129.0,2023-07-31,-981,Expired,Active
Mills Crossing,Owings Mills,Jay Austin,067,1BR/1BA,1610.0,2023-07-31,-981,Expired,Active
Fieldside Grande Ph1,Pikesville,Anthony Randall,215,2BR/2BA,2153.0,2023-07-31,-981,Expired,Active
Avenue Grand,Baltimore,Adam Holland,122,2BR/1BA,1866.0,2023-08-01,-980,Expired,Active
Cedar Ridge Commons,Ellicott City,Greg Wright,074,1BR/1BA,1581.0,2023-08-02,-979,Expired,Active
Duvall Westside,Laurel,Daniel Cooper,022,Studio,1274.0,2023-08-03,-978,Expired,Active
Duvall Westside,Laurel,Jamie Kerr,049,1BR/1BA,1690.0,2023-08-03,-978,Expired,Active
Riverfront Flats,Frederick,Robert Nguyen,029,Studio,1332.0,2023-08-03,-978,Expired,Active
Avenue Grand,Baltimore,David Hawkins,088,1BR/1BA,1598.0,2023-08-06,-975,Expired,Active
Cedar Ridge Commons,Ellicott City,Amy Davis,139,2BR/1BA,2041.0,2023-08-06,-975,Expired,Active
Cedar Ridge Commons,Ellicott City,Robin Wright,032,1BR/1BA,1905.0,2023-08-07,-974,Expired,Active
Mills Crossing,Owings Mills,Jessica Rojas,032,1BR/1BA,1706.0,2023-08-08,-973,Expired,Active
Mills Crossing,Owings Mills,Jennifer Bryant,095,2BR/1BA,1615.0,2023-08-08,-973,Expired,Active
Cedar Ridge Commons,Ellicott City,Jacob Fry,277,2BR/2BA,2075.0,2023-08-09,-972,Expired,Active
Avenue Grand,Baltimore,Joseph Wang,041,1BR/1BA,1924.0,2023-08-11,-970,Expired,Active
Avenue Grand,Baltimore,Sean Dixon,054,1BR/1BA,1767.0,2023-08-11,-970,Expired,Active
Fieldside Grande Ph1,Pikesville,Scott Martinez,195,2BR/2BA,2119.0,2023-08-14,-967,Expired,Active
Riverfront Flats,Frederick,Bailey Love,169,2BR/2BA,2231.0,2023-08-14,-967,Expired,Active
Mills Crossing,Owings Mills,Jennifer Jenkins,062,1BR/1BA,1396.0,2023-08-16,-965,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Joshua Baker,101,2BR/2BA,1941.0,2023-08-16,-965,Expired,Active
Duvall Westside,Laurel,Austin Garcia,275,3BR/2BA,2477.0,2023-08-17,-964,Expired,Active
Overlook at Bulle Rock,Havre de Grace,David Stephens,025,1BR/1BA,1577.0,2023-08-17,-964,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Dylan Robinson,095,2BR/2BA,2160.0,2023-08-17,-964,Expired,Active
Duvall Westside,Laurel,Ryan Newman,157,2BR/2BA,2188.0,2023-08-19,-962,Expired,Active
Cedar Ridge Commons,Ellicott City,George Hill,227,2BR/2BA,2029.0,2023-08-19,-962,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Douglas Brown,140,3BR/2BA,2630.0,2023-08-23,-958,Expired,Active
Riverfront Flats,Frederick,Kevin Stafford,052,1BR/1BA,1495.0,2023-08-24,-957,Expired,Active
Fieldside Grande Ph1,Pikesville,Deborah Moreno,169,2BR/2BA,1883.0,2023-08-25,-956,Expired,Active
Mills Crossing,Owings Mills,Thomas Patrick,203,2BR/2BA,2082.0,2023-08-26,-955,Expired,Active
Townes at Heritage Hills,Glen Burnie,Debra Mayo,024,2BR/1BA,1731.0,2023-08-26,-955,Expired,Active
Fieldside Grande Ph1,Pikesville,John Hodges,018,Studio,1492.0,2023-08-26,-955,Expired,Active
Riverfront Flats,Frederick,Whitney Allen,243,3BR/2BA,2858.0,2023-08-26,-955,Expired,Active
Cedar Ridge Commons,Ellicott City,Albert Fields,103,1BR/1BA,1513.0,2023-08-28,-953,Expired,Active
Riverfront Flats,Frederick,Sharon Holland,116,1BR/1BA,1581.0,2023-08-28,-953,Expired,Active
Cedar Ridge Commons,Ellicott City,Donald Roberts,170,2BR/1BA,2003.0,2023-08-30,-951,Expired,Active
Overlook at Bulle Rock,Havre de Grace,George Haney,123,2BR/2BA,2189.0,2023-08-30,-951,Expired,Active
Townes at Heritage Hills,Glen Burnie,Kristina English,072,2BR/2BA,2057.0,2023-08-31,-950,Expired,Active
Fieldside Grande Ph1,Pikesville,Jennifer Meyer,027,Studio,1475.0,2023-08-31,-950,Expired,Active
Riverfront Flats,Frederick,Michael Gilbert,242,3BR/2BA,2402.0,2023-08-31,-950,Expired,Active
Duvall Westside,Laurel,Matthew Wells,273,3BR/2BA,3030.0,2023-09-01,-949,Expired,Active
Riverfront Flats,Frederick,Tonya Spears,221,2BR/2BA,2169.0,2023-09-01,-949,Expired,Active
Duvall Westside,Laurel,Steven Taylor,120,2BR/1BA,2009.0,2023-09-02,-948,Expired,Active
Mills Crossing,Owings Mills,Michael Freeman,020,1BR/1BA,1694.0,2023-09-04,-946,Expired,Active
Duvall Westside,Laurel,Mariah Robles,253,2BR/2BA,2139.0,2023-09-05,-945,Expired,Active
Mills Crossing,Owings Mills,Andrew Anderson,249,3BR/2BA,2495.0,2023-09-05,-945,Expired,Active
Cedar Ridge Commons,Ellicott City,Shirley Todd,166,2BR/1BA,1810.0,2023-09-08,-942,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Jerome Salazar,154,3BR/2BA,2637.0,2023-09-08,-942,Expired,Active
Riverfront Flats,Frederick,Bradley Brown,190,2BR/2BA,2228.0,2023-09-10,-940,Expired,Active
Duvall Westside,Laurel,Brittany Stevens,271,3BR/2BA,2272.0,2023-09-11,-939,Expired,Active
Townes at Heritage Hills,Glen Burnie,Paula Shepherd,052,2BR/2BA,1922.0,2023-09-11,-939,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Kimberly Cummings,139,3BR/2BA,2855.0,2023-09-12,-938,Expired,Active
Mills Crossing,Owings Mills,Shawn Evans,092,2BR/1BA,1790.0,2023-09-13,-937,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Jonathon Houston,115,2BR/2BA,2047.0,2023-09-14,-936,Expired,Active
Riverfront Flats,Frederick,Daniel Nelson,062,1BR/1BA,1496.0,2023-09-14,-936,Expired,Active
Mills Crossing,Owings Mills,Jennifer Smith,277,3BR/2BA,2422.0,2023-09-16,-934,Expired,Active
Fieldside Grande Ph1,Pikesville,Daniel Lester,023,Studio,1357.0,2023-09-16,-934,Expired,Active
Cedar Ridge Commons,Ellicott City,Dylan Valenzuela,054,1BR/1BA,1586.0,2023-09-16,-934,Expired,Active
Cedar Ridge Commons,Ellicott City,Joe Chapman,159,2BR/1BA,1824.0,2023-09-16,-934,Expired,Active
Fieldside Grande Ph1,Pikesville,Denise Nixon,036,1BR/1BA,1509.0,2023-09-17,-933,Expired,Active
Cedar Ridge Commons,Ellicott City,Stephanie Walker,290,3BR/2BA,2714.0,2023-09-17,-933,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Stephanie Hoover,160,3BR/2BA,2769.0,2023-09-17,-933,Expired,Active
Cedar Ridge Commons,Ellicott City,Chelsea Grant,301,3BR/2BA,2312.0,2023-09-18,-932,Expired,Active
Cedar Ridge Commons,Ellicott City,Monica Chavez,269,2BR/2BA,2156.0,2023-09-19,-931,Expired,Active
Fieldside Grande Ph1,Pikesville,Cynthia Henry,109,1BR/1BA,1749.0,2023-09-21,-929,Expired,Active
Riverfront Flats,Frederick,Edward Rowland,171,2BR/2BA,2122.0,2023-09-22,-928,Expired,Active
Avenue Grand,Baltimore,Kelsey Fernandez,125,2BR/1BA,2025.0,2023-09-26,-924,Expired,Active
Mills Crossing,Owings Mills,Cory Hogan,121,2BR/1BA,1913.0,2023-09-29,-921,Expired,Active
Townes at Heritage Hills,Glen Burnie,Leslie Young,096,2BR/2BA,1960.0,2023-09-30,-920,Expired,Active
Avenue Grand,Baltimore,Judith Garcia,184,2BR/2BA,2036.0,2023-10-02,-918,Expired,Active
Fieldside Grande Ph1,Pikesville,Lisa Vincent,148,2BR/2BA,2019.0,2023-10-03,-917,Expired,Active
Riverfront Flats,Frederick,Justin Henry,232,2BR/2BA,1893.0,2023-10-04,-916,Expired,Active
Duvall Westside,Laurel,Charles Matthews,224,2BR/2BA,2002.0,2023-10-05,-915,Expired,Active
Avenue Grand,Baltimore,Angela Chapman,163,2BR/2BA,2323.0,2023-10-05,-915,Expired,Active
Fieldside Grande Ph1,Pikesville,Laura Rush,092,1BR/1BA,1572.0,2023-10-06,-914,Expired,Active
Riverfront Flats,Frederick,Timothy Hall,127,1BR/1BA,1702.0,2023-10-07,-913,Expired,Active
Mills Crossing,Owings Mills,Brandon Pearson,119,2BR/1BA,2198.0,2023-10-08,-912,Expired,Active
Mills Crossing,Owings Mills,Savannah Ibarra,241,3BR/2BA,2883.0,2023-10-10,-910,Expired,Active
Fieldside Grande Ph1,Pikesville,Steven Clark,026,Studio,1460.0,2023-10-10,-910,Expired,Active
Cedar Ridge Commons,Ellicott City,Randall Johnson,162,2BR/1BA,2098.0,2023-10-10,-910,Expired,Active
Avenue Grand,Baltimore,Sally Hurst,110,1BR/1BA,1690.0,2023-10-11,-909,Expired,Active
Avenue Grand,Baltimore,Richard Harris,217,3BR/2BA,2400.0,2023-10-11,-909,Expired,Active
Avenue Grand,Baltimore,Brooke Lambert,220,3BR/2BA,2395.0,2023-10-11,-909,Expired,Active
Mills Crossing,Owings Mills,Dawn Ellis,073,1BR/1BA,1922.0,2023-10-14,-906,Expired,Active
Mills Crossing,Owings Mills,Heather Johnson,075,1BR/1BA,1616.0,2023-10-14,-906,Expired,Active
Cedar Ridge Commons,Ellicott City,Adam Martin,298,3BR/2BA,2916.0,2023-10-15,-905,Expired,Active
Mills Crossing,Owings Mills,Mary Ryan,038,1BR/1BA,1647.0,2023-10-18,-902,Expired,Active
Cedar Ridge Commons,Ellicott City,Melvin Smith,129,2BR/1BA,1627.0,2023-10-18,-902,Expired,Active
Mills Crossing,Owings Mills,Sophia Hall,077,1BR/1BA,1632.0,2023-10-21,-899,Expired,Active
Townes at Heritage Hills,Glen Burnie,Maria Sanders,194,3BR/2BA,2958.0,2023-10-21,-899,Expired,Active
Fieldside Grande Ph1,Pikesville,Paul Elliott,113,1BR/1BA,1743.0,2023-10-21,-899,Expired,Active
Townes at Heritage Hills,Glen Burnie,Willie Smith,188,3BR/2BA,2474.0,2023-10-22,-898,Expired,Active
Duvall Westside,Laurel,Emily Robinson,267,3BR/2BA,2695.0,2023-10-23,-897,Expired,Active
Cedar Ridge Commons,Ellicott City,James Miller,059,1BR/1BA,1600.0,2023-10-23,-897,Expired,Active
Avenue Grand,Baltimore,Tracey Reynolds,063,1BR/1BA,1635.0,2023-10-24,-896,Expired,Active
Mills Crossing,Owings Mills,John Garcia,040,1BR/1BA,1537.0,2023-10-26,-894,Expired,Active
Townes at Heritage Hills,Glen Burnie,Brenda Clark,164,3BR/2BA,2271.0,2023-10-26,-894,Expired,Active
Fieldside Grande Ph1,Pikesville,Maria Thomas,278,3BR/2BA,2795.0,2023-10-27,-893,Expired,Active
Riverfront Flats,Frederick,Laura Miller,015,Studio,1464.0,2023-10-28,-892,Expired,Active
Mills Crossing,Owings Mills,Misty Arias,007,Studio,1516.0,2023-10-29,-891,Expired,Active
Mills Crossing,Owings Mills,Jessica Lee,036,1BR/1BA,1387.0,2023-10-29,-891,Expired,Active
Riverfront Flats,Frederick,Michael Gomez,068,1BR/1BA,1744.0,2023-10-31,-889,Expired,Active
Townes at Heritage Hills,Glen Burnie,Jamie Smith,044,2BR/2BA,2169.0,2023-11-01,-888,Expired,Active
Riverfront Flats,Frederick,Sandra Baker,036,Studio,1380.0,2023-11-04,-885,Expired,Active
Duvall Westside,Laurel,Jeremy Young,072,1BR/1BA,1474.0,2023-11-05,-884,Expired,Active
Mills Crossing,Owings Mills,Kiara Simmons,176,2BR/2BA,2112.0,2023-11-05,-884,Expired,Active
Avenue Grand,Baltimore,James Reed,192,2BR/2BA,2110.0,2023-11-05,-884,Expired,Active
Duvall Westside,Laurel,Heather Lane,079,1BR/1BA,1607.0,2023-11-06,-883,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Hannah Riggs,105,2BR/2BA,2094.0,2023-11-07,-882,Expired,Active
Riverfront Flats,Frederick,Andrew Mann,255,3BR/2BA,2131.0,2023-11-09,-880,Expired,Active
Fieldside Grande Ph1,Pikesville,Mrs. Donna Rice,194,2BR/2BA,2247.0,2023-11-10,-879,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Kimberly Hanna,002,Studio,1389.0,2023-11-10,-879,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Kara Stein,013,1BR/1BA,1634.0,2023-11-10,-879,Expired,Active
Duvall Westside,Laurel,George Orozco,034,1BR/1BA,1809.0,2023-11-13,-876,Expired,Active
Fieldside Grande Ph1,Pikesville,Michael Cordova,010,Studio,1527.0,2023-11-13,-876,Expired,Active
Fieldside Grande Ph1,Pikesville,Jeremy Alvarez,040,1BR/1BA,1718.0,2023-11-14,-875,Expired,Active
Avenue Grand,Baltimore,Evelyn Novak,069,1BR/1BA,1801.0,2023-11-14,-875,Expired,Active
Riverfront Flats,Frederick,Julia Hoffman,175,2BR/2BA,2131.0,2023-11-14,-875,Expired,Active
Avenue Grand,Baltimore,Bryan Hardy,049,1BR/1BA,1467.0,2023-11-15,-874,Expired,Active
Mills Crossing,Owings Mills,Nathan Chen,126,2BR/2BA,2179.0,2023-11-16,-873,Expired,Active
Townes at Heritage Hills,Glen Burnie,Brandon Lang,097,2BR/2BA,2028.0,2023-11-16,-873,Expired,Active
Cedar Ridge Commons,Ellicott City,Ronald Edwards,067,1BR/1BA,1599.0,2023-11-17,-872,Expired,Active
Duvall Westside,Laurel,Kimberly May,272,3BR/2BA,2864.0,2023-11-18,-871,Expired,Active
Avenue Grand,Baltimore,Jeffrey King,070,1BR/1BA,1520.0,2023-11-18,-871,Expired,Active
Duvall Westside,Laurel,Elizabeth Vasquez,070,1BR/1BA,1698.0,2023-11-19,-870,Expired,Active
Cedar Ridge Commons,Ellicott City,Brandi Valdez,017,Studio,1595.0,2023-11-19,-870,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Daniel Barton,164,3BR/2BA,2349.0,2023-11-20,-869,Expired,Active
Cedar Ridge Commons,Ellicott City,Jeffrey Burke,225,2BR/2BA,1839.0,2023-11-21,-868,Expired,Active
Riverfront Flats,Frederick,Rodney Johnson,226,2BR/2BA,1908.0,2023-11-23,-866,Expired,Active
Fieldside Grande Ph1,Pikesville,Douglas Grant,166,2BR/2BA,1997.0,2023-11-24,-865,Expired,Active
Avenue Grand,Baltimore,Trevor Burns,026,Studio,1352.0,2023-11-25,-864,Expired,Active
Avenue Grand,Baltimore,Jeffrey Sloan,151,2BR/2BA,2060.0,2023-11-26,-863,Expired,Active
Duvall Westside,Laurel,Scott Rose,173,2BR/2BA,1899.0,2023-11-28,-861,Expired,Active
Duvall Westside,Laurel,Jennifer Pitts,238,2BR/2BA,1812.0,2023-11-29,-860,Expired,Active
Riverfront Flats,Frederick,Claire Mcmillan,065,1BR/1BA,1499.0,2023-12-01,-858,Expired,Active
Fieldside Grande Ph1,Pikesville,Jason Ferrell,247,2BR/2BA,2192.0,2023-12-04,-855,Expired,Active
Fieldside Grande Ph1,Pikesville,Tina Berg,112,1BR/1BA,1576.0,2023-12-05,-854,Expired,Active
Fieldside Grande Ph1,Pikesville,Michael Lewis,151,2BR/2BA,2151.0,2023-12-05,-854,Expired,Active
Riverfront Flats,Frederick,Angela Ray,040,1BR/1BA,1591.0,2023-12-06,-853,Expired,Active
Cedar Ridge Commons,Ellicott City,Stanley Brown,005,Studio,1526.0,2023-12-07,-852,Expired,Active
Cedar Ridge Commons,Ellicott City,Alexis Campbell,259,2BR/2BA,2176.0,2023-12-12,-847,Expired,Active
Cedar Ridge Commons,Ellicott City,Ian Weaver,007,Studio,1562.0,2023-12-14,-845,Expired,Active
Duvall Westside,Laurel,Amanda Armstrong,282,3BR/2BA,2472.0,2023-12-16,-843,Expired,Active
Mills Crossing,Owings Mills,Patrick Horne,097,2BR/1BA,1673.0,2023-12-16,-843,Expired,Active
Cedar Ridge Commons,Ellicott City,Marvin Johnson,046,1BR/1BA,1891.0,2023-12-16,-843,Expired,Active
Cedar Ridge Commons,Ellicott City,Connie Johnson,252,2BR/2BA,2046.0,2023-12-16,-843,Expired,Active
Avenue Grand,Baltimore,Catherine Lopez,081,1BR/1BA,1817.0,2023-12-17,-842,Expired,Active
Cedar Ridge Commons,Ellicott City,James Nelson,272,2BR/2BA,2110.0,2023-12-19,-840,Expired,Active
Avenue Grand,Baltimore,Bob Lane,106,1BR/1BA,1565.0,2023-12-22,-837,Expired,Active
Riverfront Flats,Frederick,Aaron Olson,078,1BR/1BA,1786.0,2023-12-27,-832,Expired,Active
Mills Crossing,Owings Mills,Bradley Walton,259,3BR/2BA,2259.0,2023-12-28,-831,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Mrs. Ashley Mooney,038,1BR/1BA,1655.0,2023-12-28,-831,Expired,Active
Riverfront Flats,Frederick,Paul Porter,091,1BR/1BA,1501.0,2023-12-28,-831,Expired,Active
Riverfront Flats,Frederick,Shane Smith,134,2BR/1BA,1759.0,2023-12-28,-831,Expired,Active
Duvall Westside,Laurel,Charles Hill,187,2BR/2BA,2048.0,2023-12-29,-830,Expired,Active
Townes at Heritage Hills,Glen Burnie,Jeffery Thompson,170,3BR/2BA,2640.0,2023-12-29,-830,Expired,Active
Townes at Heritage Hills,Glen Burnie,Kevin Myers,176,3BR/2BA,2737.0,2023-12-31,-828,Expired,Active
Townes at Heritage Hills,Glen Burnie,Vanessa Strickland,049,2BR/2BA,2239.0,2024-01-01,-827,Expired,Active
Avenue Grand,Baltimore,Colleen Padilla,131,2BR/1BA,1923.0,2024-01-01,-827,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Emily Reed,138,3BR/2BA,2589.0,2024-01-02,-826,Expired,Active
Mills Crossing,Owings Mills,Tyler Jones,091,2BR/1BA,1803.0,2024-01-03,-825,Expired,Active
Mills Crossing,Owings Mills,Ashley Davenport,158,2BR/2BA,2299.0,2024-01-03,-825,Expired,Active
Mills Crossing,Owings Mills,Ellen Mullen,183,2BR/2BA,2335.0,2024-01-03,-825,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Jennifer Gibson,096,2BR/2BA,2254.0,2024-01-03,-825,Expired,Active
Townes at Heritage Hills,Glen Burnie,Danielle Hoover MD,027,2BR/1BA,1686.0,2024-01-04,-824,Expired,Active
Cedar Ridge Commons,Ellicott City,Daniel Johnson,065,1BR/1BA,1622.0,2024-01-04,-824,Expired,Active
Duvall Westside,Laurel,Pam Lowe,180,2BR/2BA,1927.0,2024-01-05,-823,Expired,Active
Fieldside Grande Ph1,Pikesville,Shawn Yu,185,2BR/2BA,2243.0,2024-01-09,-819,Expired,Active
Avenue Grand,Baltimore,Mark Dennis,055,1BR/1BA,1570.0,2024-01-09,-819,Expired,Active
Mills Crossing,Owings Mills,Michael Bennett DVM,309,3BR/2BA,2148.0,2024-01-11,-817,Expired,Active
Cedar Ridge Commons,Ellicott City,Scott Brennan,076,1BR/1BA,1610.0,2024-01-11,-817,Expired,Active
Riverfront Flats,Frederick,Michael Ellis,002,Studio,1519.0,2024-01-11,-817,Expired,Active
Riverfront Flats,Frederick,Shannon Bass,017,Studio,1424.0,2024-01-13,-815,Expired,Active
Avenue Grand,Baltimore,Megan Johnson,207,3BR/2BA,2362.0,2024-01-14,-814,Expired,Active
Duvall Westside,Laurel,Keith Graham,201,2BR/2BA,2436.0,2024-01-15,-813,Expired,Active
Fieldside Grande Ph1,Pikesville,Taylor Norman,228,2BR/2BA,2089.0,2024-01-15,-813,Expired,Active
Avenue Grand,Baltimore,Kimberly Garrett,166,2BR/2BA,1799.0,2024-01-15,-813,Expired,Active
Cedar Ridge Commons,Ellicott City,Tracy Williams,012,Studio,1391.0,2024-01-16,-812,Expired,Active
Cedar Ridge Commons,Ellicott City,Thomas Rodgers,132,2BR/1BA,1636.0,2024-01-16,-812,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Antonio Woods,027,1BR/1BA,1695.0,2024-01-17,-811,Expired,Active
Fieldside Grande Ph1,Pikesville,Adam Burton,144,2BR/2BA,1933.0,2024-01-18,-810,Expired,Active
Avenue Grand,Baltimore,Julia Arnold,091,1BR/1BA,1654.0,2024-01-19,-809,Expired,Active
Fieldside Grande Ph1,Pikesville,Jill Shaw,163,2BR/2BA,1918.0,2024-01-22,-806,Expired,Active
Fieldside Grande Ph1,Pikesville,Felicia Williams,216,2BR/2BA,2289.0,2024-01-22,-806,Expired,Active
Townes at Heritage Hills,Glen Burnie,John Hart,046,2BR/2BA,1997.0,2024-01-24,-804,Expired,Active
Townes at Heritage Hills,Glen Burnie,Kelly Palmer,128,3BR/2BA,2607.0,2024-01-25,-803,Expired,Active
Riverfront Flats,Frederick,Corey Ford,035,Studio,1284.0,2024-01-25,-803,Expired,Active
Mills Crossing,Owings Mills,Micheal Perkins,161,2BR/2BA,2174.0,2024-01-26,-802,Expired,Active
Townes at Heritage Hills,Glen Burnie,Lauren Reeves,006,1BR/1BA,1606.0,2024-01-26,-802,Expired,Active
Mills Crossing,Owings Mills,Miguel Rodriguez,089,2BR/1BA,1766.0,2024-01-29,-799,Expired,Active
Fieldside Grande Ph1,Pikesville,Jason Potter,141,2BR/1BA,1794.0,2024-01-29,-799,Expired,Active
Townes at Heritage Hills,Glen Burnie,Ashley Donaldson,172,3BR/2BA,2970.0,2024-01-30,-798,Expired,Active
Cedar Ridge Commons,Ellicott City,Cathy Wyatt,049,1BR/1BA,1604.0,2024-01-30,-798,Expired,Active
Cedar Ridge Commons,Ellicott City,Brian Fernandez,088,1BR/1BA,1458.0,2024-01-30,-798,Expired,Active
Fieldside Grande Ph1,Pikesville,Sarah Garcia,210,2BR/2BA,2154.0,2024-01-31,-797,Expired,Active
Mills Crossing,Owings Mills,Thomas Kelly,152,2BR/2BA,1828.0,2024-02-01,-796,Expired,Active
Fieldside Grande Ph1,Pikesville,Brianna Price,240,2BR/2BA,2257.0,2024-02-01,-796,Expired,Active
Cedar Ridge Commons,Ellicott City,Kevin Roberts,118,1BR/1BA,1752.0,2024-02-01,-796,Expired,Active
Mills Crossing,Owings Mills,Laura Butler,196,2BR/2BA,2320.0,2024-02-02,-795,Expired,Active
Riverfront Flats,Frederick,Kevin Gutierrez,199,2BR/2BA,2268.0,2024-02-02,-795,Expired,Active
Fieldside Grande Ph1,Pikesville,Tasha Taylor,051,1BR/1BA,1540.0,2024-02-04,-793,Expired,Active
Duvall Westside,Laurel,Brenda Ryan,277,3BR/2BA,2460.0,2024-02-06,-791,Expired,Active
Fieldside Grande Ph1,Pikesville,Lisa Watson,184,2BR/2BA,2156.0,2024-02-06,-791,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Richard Davis DDS,118,2BR/2BA,2333.0,2024-02-06,-791,Expired,Active
Fieldside Grande Ph1,Pikesville,Chad Hurley,073,1BR/1BA,1605.0,2024-02-08,-789,Expired,Active
Mills Crossing,Owings Mills,Bryan Roman,181,2BR/2BA,2216.0,2024-02-09,-788,Expired,Active
Avenue Grand,Baltimore,Angela Hunt,172,2BR/2BA,2111.0,2024-02-10,-787,Expired,Active
Riverfront Flats,Frederick,Travis Shannon,133,2BR/1BA,1983.0,2024-02-10,-787,Expired,Active
Fieldside Grande Ph1,Pikesville,Sylvia Escobar,038,1BR/1BA,1858.0,2024-02-11,-786,Expired,Active
Fieldside Grande Ph1,Pikesville,Nicole Perez,125,2BR/1BA,1800.0,2024-02-12,-785,Expired,Active
Townes at Heritage Hills,Glen Burnie,Mitchell Brown,154,3BR/2BA,2348.0,2024-02-13,-784,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Carla Patterson,069,2BR/2BA,2115.0,2024-02-13,-784,Expired,Active
Mills Crossing,Owings Mills,Stephen Alvarez MD,199,2BR/2BA,1894.0,2024-02-14,-783,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Matthew Kemp,119,2BR/2BA,2032.0,2024-02-16,-781,Expired,Active
Cedar Ridge Commons,Ellicott City,Daryl Olson,161,2BR/1BA,1959.0,2024-02-17,-780,Expired,Active
Mills Crossing,Owings Mills,Courtney Powers,065,1BR/1BA,1650.0,2024-02-18,-779,Expired,Active
Fieldside Grande Ph1,Pikesville,Stacy Orozco,249,2BR/2BA,2075.0,2024-02-18,-779,Expired,Active
Duvall Westside,Laurel,Katherine Barton,198,2BR/2BA,2001.0,2024-02-21,-776,Expired,Active
Riverfront Flats,Frederick,Daniel Harris,145,2BR/1BA,1738.0,2024-02-21,-776,Expired,Active
Duvall Westside,Laurel,Kevin Mills,020,Studio,1319.0,2024-02-22,-775,Expired,Active
Fieldside Grande Ph1,Pikesville,Corey Flowers,074,1BR/1BA,1797.0,2024-02-22,-775,Expired,Active
Avenue Grand,Baltimore,Ronald Khan,002,Studio,1513.0,2024-02-22,-775,Expired,Active
Avenue Grand,Baltimore,Jon Ramos,007,Studio,1301.0,2024-02-22,-775,Expired,Active
Riverfront Flats,Frederick,Tammie Campbell,214,2BR/2BA,2098.0,2024-02-23,-774,Expired,Active
Riverfront Flats,Frederick,Jeremy Garza,246,3BR/2BA,2449.0,2024-02-23,-774,Expired,Active
Duvall Westside,Laurel,Jonathon Taylor,230,2BR/2BA,2335.0,2024-02-25,-772,Expired,Active
Townes at Heritage Hills,Glen Burnie,Caitlin Morris,081,2BR/2BA,1776.0,2024-02-26,-771,Expired,Active
Avenue Grand,Baltimore,Kenneth Johnson,045,1BR/1BA,1702.0,2024-02-27,-770,Expired,Active
Avenue Grand,Baltimore,Zachary Jones,075,1BR/1BA,1830.0,2024-02-27,-770,Expired,Active
Duvall Westside,Laurel,Gregory Jones,021,Studio,1447.0,2024-02-28,-769,Expired,Active
Avenue Grand,Baltimore,Kristy Tate,065,1BR/1BA,1703.0,2024-02-28,-769,Expired,Active
Cedar Ridge Commons,Ellicott City,Marvin Sparks,177,2BR/1BA,1752.0,2024-02-28,-769,Expired,Active
Riverfront Flats,Frederick,Roger Hall,108,1BR/1BA,1634.0,2024-02-28,-769,Expired,Active
Avenue Grand,Baltimore,Arthur Gonzalez,040,1BR/1BA,1746.0,2024-02-29,-768,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Christina Weber,086,2BR/2BA,2099.0,2024-02-29,-768,Expired,Active
Mills Crossing,Owings Mills,Brian Morris,282,3BR/2BA,2599.0,2024-03-01,-767,Expired,Active
